date,ticker,atm_iv
2026-06-24,CRNX,0.7493
2026-06-24,RCKT,1.9258
2026-06-24,DYN,0.9458
2026-06-24,CADL,2.3066
2026-06-24,AUPH,0.5137
2026-06-24,ACHV,0.8477
2026-06-24,ZVRA,0.75
2026-06-24,IOVA,0.9375
2026-06-24,NVDA,0.1423
2026-06-24,AAPL,0.0884
2026-06-24,MSFT,0.1034
2026-06-24,TSLA,0.0473
2026-06-24,META,0.0568
2026-06-24,AMD,0.7401
2026-06-24,MELI,0.4939
2026-06-24,SPY,0.1201
2026-06-24,QQQ,0.2947
2026-06-24,SPXL,0.5262
2026-06-24,SPXS,0.5352
2026-06-24,VIXY,0.6072
2026-06-25,CRNX,0.6318
2026-06-25,RCKT,1.2656
2026-06-25,DYN,0.9629
2026-06-25,CADL,0.9385
2026-06-25,AUPH,0.5674
2026-06-25,ACHV,0.8223
2026-06-25,ZVRA,0.6631
2026-06-25,IOVA,1.2266
2026-06-25,NVDA,0.3095
2026-06-25,AAPL,0.3175
2026-06-25,MSFT,0.343
2026-06-25,TSLA,0.3612
2026-06-25,META,0.3056
2026-06-25,AMD,0.597
2026-06-25,MELI,0.4338
2026-06-25,SPY,0.0221
2026-06-25,QQQ,0.0607
2026-06-25,SPXL,0.5787
2026-06-25,SPXS,0.5078
2026-06-25,VIXY,0.5322
